ticker,empresa,owner,sleeve,role,quantidade,preco_medio,moeda,valor_base,thesis_status,cio_action,monitor_priority,key_risk,next_event,next_review,notes,active_decision_ref
INBR32,Inter & Co,Financeiro & Crédito,Financeiro & Crédito,core,1905,32.67,BRL,62236.35,active,hold,P1,concentration + credit cycle,earnings / credit quality update,after 1Q26 results,largest single listed position,D-2026-03-15-003
ENGI4,Energisa,Utilities & Concessões,Utilities & Concessões,core,5890,8.51,BRL,50113.90,pending,hold,P1,rate sensitivity + rerating dependency,earnings / regulatory update,after deep dive,major domestic quality utility exposure,
EQTL3,Equatorial,Utilities & Concessões,Utilities & Concessões,core,942,34.39,BRL,32395.38,pending,hold,P1,rate sensitivity + execution,earnings / sanitation or regulatory update,after deep dive,core utility exposure with optionality,
ALOS3,Consumo,Consumo Varejo & Imobiliário,Consumo Varejo & Imobiliário,core,1200,22.90,BRL,27480.00,pending,hold,P1,consumer + rate sensitivity,earnings / occupancy / FFO update,after deep dive,real-asset retail exposure,
SUZB3,Energia & Materiais,Energia & Materiais,Energia & Materiais,core,600,53.35,BRL,32010.00,pending,hold,P1,FX + pulp cycle,pulp price / FX / earnings,after deep dive,macro consistency already flagged as important,
KLBN4,Energia & Materiais,Energia & Materiais,Energia & Materiais,core,5383,3.73,BRL,20078.59,pending,hold,P2,pulp-paper overlap + FX,earnings / packaging and pulp update,after deep dive,paired exposure with Suzano requires portfolio view,
BRAV3,Energia & Materiais,Energia & Materiais,Energia & Materiais,watchlist,1000,15.86,BRL,15860.00,pending,watch-trigger,P2,oil + leverage + execution,oil market + company update,after deep dive,higher-beta commodity position,
PLPL3,Consumo,Consumo Varejo & Imobiliário,Consumo Varejo & Imobiliário,watchlist,1200,13.73,BRL,16476.00,pending,watch-trigger,P2,MCMV + rates + execution,earnings / housing data,after deep dive,domestic cycle-sensitive position,
RAPT4,Consumo,Consumo Varejo & Imobiliário,Consumo Varejo & Imobiliário,watchlist,2500,6.02,BRL,15050.00,pending,watch-trigger,P2,capex cycle + agro demand,earnings / truck-agro demand update,after deep dive,needs clear split between agro and industrial drivers,
GMAT3,Consumo,Consumo Varejo & Imobiliário,Consumo Varejo & Imobiliário,watchlist,2600,4.91,BRL,12766.00,pending,watch-trigger,P2,competition + execution + margins,earnings / same-store sales update,after deep dive,smaller domestic consumer exposure,
TSM,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,watchlist,10.150,344.77,USD,3499.42,pending,hold,P2,semi cycle + geopolitics,earnings / foundry commentary,after deep dive,small absolute weight but strategic exposure,
NVDA,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,watchlist,15.969,187.90,USD,3000.58,pending,hold,P2,AI expectations + multiple,earnings / hyperscaler capex readthrough,after deep dive,important signal asset for AI basket,
ASML,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,watchlist,1.526,1439.24,USD,2196.68,pending,hold,P2,EUV demand + export restrictions,earnings / backlog update,after deep dive,strategic equipment exposure,
MELI,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,watchlist,0.640,2193.50,USD,1403.84,pending,hold,P3,valuation + LatAm execution,earnings / TPV and take-rate update,after deep dive,small position with strong quality profile,
GOOGL,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,watchlist,3.901,319.75,USD,1247.34,pending,hold,P3,AI capex vs monetization,earnings / cloud and AI update,after deep dive,platform exposure rather than pure semis,
SNPS,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,watchlist,5.732,454.80,USD,2607.91,pending,hold,P3,EDA demand concentration,earnings / backlog update,after deep dive,high-quality niche software exposure,
MU,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,watchlist,2.064,434.23,USD,896.65,pending,watch-trigger,P3,memory cycle volatility,pricing / earnings update,after deep dive,more cyclical than other AI names,
EWY,Tecnologia & Semicondutores,Tecnologia & Semicondutores,Tecnologia & Semicondutores,tactical,15.577,131.28,USD,2044.94,pending,watch-trigger,P3,country ETF beta + FX,macro / Korea export update,after deep dive,basket exposure not single-name thesis,
FIDC-MICROCREDITO,Financeiro & Crédito,Financeiro & Crédito,Financeiro & Crédito,special,1,9867.52,BRL,14157.63,pending,hold,P1,credit quality + liquidity,monthly fund update,next monthly review,structured credit exposure,
FMP-FGTS-ELETROBRAS,Utilities & Concessões,Utilities & Concessões,Utilities & Concessões,special,1,18643.29,BRL,36009.46,pending,hold,P1,wrapper constraints + utility thesis,fund / Eletrobras update,next monthly review,wrapper position with specific liquidity rules,
CAIXA,CIO,CIO,Liquidez,liquidity,1,1148.99,BRL,1148.99,n-a,preserve-cash,P1,opportunity cost + deployment discipline,capital allocation decision,next allocation review,cash is an active strategic position,D-2026-03-15-002
